Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-12-07 00:00:00-05:00,142.529999,142.690002,141.669998,142.410004,108726400,0.000000,0.000000
2012-12-10 00:00:00-05:00,142.210007,142.809998,142.149994,142.470001,98840700,0.000000,0.000000
2012-12-11 00:00:00-05:00,143.059998,144.110001,142.990005,143.440002,152570400,0.000000,0.000000
2012-12-12 00:00:00-05:00,144.000000,144.550003,143.309998,143.509995,145880100,0.000000,0.000000
2012-12-13 00:00:00-05:00,143.419998,143.830002,142.270004,142.630005,135715000,0.000000,0.000000
2012-12-14 00:00:00-05:00,142.320007,142.580002,141.880005,142.100006,137701700,0.000000,0.000000
2012-12-17 00:00:00-05:00,142.470001,143.850006,142.429993,143.770004,143238200,0.000000,0.000000
2012-12-18 00:00:00-05:00,144.000000,145.500000,143.789993,145.369995,177762800,0.000000,0.000000
2012-12-19 00:00:00-05:00,145.529999,145.580002,144.240005,144.289993,150895400,0.000000,0.000000
2012-12-20 00:00:00-05:00,144.380005,145.139999,143.979996,145.119995,168487000,0.000000,0.000000
2012-12-21 00:00:00-05:00,142.169998,144.089996,141.940002,142.789993,245883800,1.022000,0.000000
2012-12-24 00:00:00-05:00,142.479996,142.559998,142.190002,142.350006,53874600,0.000000,0.000000
2012-12-26 00:00:00-05:00,142.639999,142.710007,141.350006,141.750000,106947700,0.000000,0.000000
2012-12-27 00:00:00-05:00,141.789993,142.080002,139.919998,141.559998,167920600,0.000000,0.000000
2012-12-28 00:00:00-05:00,140.639999,141.419998,139.869995,140.029999,148806700,0.000000,0.000000
2012-12-31 00:00:00-05:00,139.660004,142.559998,139.539993,142.410004,243935200,0.000000,0.000000
2013-01-02 00:00:00-05:00,145.110001,146.149994,144.729996,146.059998,192059000,0.000000,0.000000
2013-01-03 00:00:00-05:00,145.990005,146.369995,145.339996,145.729996,144761800,0.000000,0.000000
2013-01-04 00:00:00-05:00,145.970001,146.610001,145.669998,146.369995,116817700,0.000000,0.000000
2013-01-07 00:00:00-05:00,145.850006,146.110001,145.429993,145.970001,110002500,0.000000,0.000000
2013-01-08 00:00:00-05:00,145.710007,145.910004,144.979996,145.550003,121265100,0.000000,0.000000
2013-01-09 00:00:00-05:00,145.869995,146.320007,145.639999,145.919998,90745600,0.000000,0.000000
2013-01-10 00:00:00-05:00,146.729996,147.089996,145.970001,147.080002,130735400,0.000000,0.000000
2013-01-11 00:00:00-05:00,147.039993,147.149994,146.610001,147.070007,113917300,0.000000,0.000000
2013-01-14 00:00:00-05:00,146.889999,147.070007,146.429993,146.970001,89567200,0.000000,0.000000
2013-01-15 00:00:00-05:00,146.289993,147.210007,146.199997,147.070007,93172600,0.000000,0.000000
2013-01-16 00:00:00-05:00,146.770004,147.279999,146.610001,147.050003,104849500,0.000000,0.000000
2013-01-17 00:00:00-05:00,147.699997,148.419998,147.149994,148.000000,133833500,0.000000,0.000000
2013-01-18 00:00:00-05:00,147.970001,148.490005,147.429993,148.330002,169906000,0.000000,0.000000
2013-01-22 00:00:00-05:00,148.330002,149.130005,147.979996,149.130005,111797300,0.000000,0.000000
2013-01-23 00:00:00-05:00,149.130005,149.500000,148.860001,149.369995,104596100,0.000000,0.000000
2013-01-24 00:00:00-05:00,149.149994,150.139999,149.009995,149.410004,146426400,0.000000,0.000000
2013-01-25 00:00:00-05:00,149.880005,150.250000,149.369995,150.250000,147211600,0.000000,0.000000
2013-01-28 00:00:00-05:00,150.289993,150.330002,149.509995,150.070007,113357700,0.000000,0.000000
2013-01-29 00:00:00-05:00,149.770004,150.850006,149.669998,150.660004,105694400,0.000000,0.000000
2013-01-30 00:00:00-05:00,150.639999,150.940002,149.929993,150.070007,137447700,0.000000,0.000000
2013-01-31 00:00:00-05:00,149.889999,150.380005,149.600006,149.699997,108975800,0.000000,0.000000
2013-02-01 00:00:00-05:00,150.649994,151.419998,150.389999,151.240005,131173000,0.000000,0.000000
2013-02-04 00:00:00-05:00,150.320007,151.270004,149.429993,149.539993,159073600,0.000000,0.000000
2013-02-05 00:00:00-05:00,150.350006,151.479996,150.289993,151.050003,113912400,0.000000,0.000000
2013-02-06 00:00:00-05:00,150.520004,151.259995,150.410004,151.160004,138762800,0.000000,0.000000
2013-02-07 00:00:00-05:00,151.210007,151.350006,149.860001,150.960007,162490000,0.000000,0.000000
2013-02-08 00:00:00-05:00,151.220001,151.889999,151.220001,151.800003,103133700,0.000000,0.000000
2013-02-11 00:00:00-05:00,151.740005,151.899994,151.389999,151.770004,73775000,0.000000,0.000000
2013-02-12 00:00:00-05:00,151.779999,152.300003,151.610001,152.020004,65392700,0.000000,0.000000
2013-02-13 00:00:00-05:00,152.330002,152.610001,151.720001,152.149994,82322600,0.000000,0.000000
2013-02-14 00:00:00-05:00,151.690002,152.470001,151.520004,152.289993,80834300,0.000000,0.000000
2013-02-15 00:00:00-05:00,152.429993,152.589996,151.550003,152.110001,215226500,0.000000,0.000000
2013-02-19 00:00:00-05:00,152.369995,153.279999,152.160004,153.250000,95105400,0.000000,0.000000
2013-02-20 00:00:00-05:00,153.139999,153.190002,151.259995,151.339996,160574800,0.000000,0.000000
2013-02-21 00:00:00-05:00,150.960007,151.419998,149.940002,150.419998,183257000,0.000000,0.000000
2013-02-22 00:00:00-05:00,151.149994,151.889999,150.490005,151.889999,106356600,0.000000,0.000000
2013-02-25 00:00:00-05:00,152.630005,152.860001,149.000000,149.000000,245824800,0.000000,0.000000
2013-02-26 00:00:00-05:00,149.720001,150.199997,148.729996,150.020004,186596200,0.000000,0.000000
2013-02-27 00:00:00-05:00,149.889999,152.330002,149.759995,151.910004,150781900,0.000000,0.000000
2013-02-28 00:00:00-05:00,151.899994,152.869995,151.410004,151.610001,126866000,0.000000,0.000000
2013-03-01 00:00:00-05:00,151.089996,152.339996,150.410004,152.110001,170634800,0.000000,0.000000
2013-03-04 00:00:00-05:00,151.759995,152.919998,151.520004,152.919998,99010200,0.000000,0.000000
2013-03-05 00:00:00-05:00,153.660004,154.699997,153.639999,154.289993,121431900,0.000000,0.000000
2013-03-06 00:00:00-05:00,154.839996,154.919998,154.160004,154.500000,94469900,0.000000,0.000000
2013-03-07 00:00:00-05:00,154.699997,154.979996,154.520004,154.779999,86101400,0.000000,0.000000
2013-03-08 00:00:00-05:00,155.460007,155.649994,154.660004,155.440002,123477800,0.000000,0.000000
2013-03-11 00:00:00-04:00,155.320007,156.039993,155.130005,156.029999,83746800,0.000000,0.000000
2013-03-12 00:00:00-04:00,155.919998,156.100006,155.210007,155.679993,105755800,0.000000,0.000000
2013-03-13 00:00:00-04:00,155.759995,156.119995,155.229996,155.899994,92550900,0.000000,0.000000
2013-03-14 00:00:00-04:00,156.309998,156.800003,155.910004,156.729996,126329900,0.000000,0.000000
2013-03-15 00:00:00-04:00,155.850006,156.039993,155.309998,155.830002,138601100,0.694000,0.000000
2013-03-18 00:00:00-04:00,154.339996,155.639999,154.199997,154.970001,126704300,0.000000,0.000000
2013-03-19 00:00:00-04:00,155.300003,155.509995,153.589996,154.610001,167567300,0.000000,0.000000
2013-03-20 00:00:00-04:00,155.520004,155.949997,155.259995,155.690002,113759300,0.000000,0.000000
2013-03-21 00:00:00-04:00,154.759995,155.639999,154.100006,154.360001,128605000,0.000000,0.000000
2013-03-22 00:00:00-04:00,154.850006,155.600006,154.729996,155.600006,111163600,0.000000,0.000000
2013-03-25 00:00:00-04:00,156.009995,156.270004,154.350006,154.949997,151322300,0.000000,0.000000
2013-03-26 00:00:00-04:00,155.589996,156.229996,155.419998,156.190002,86856600,0.000000,0.000000
2013-03-27 00:00:00-04:00,155.259995,156.240005,155.000000,156.190002,99950600,0.000000,0.000000
2013-03-28 00:00:00-04:00,156.089996,156.850006,155.750000,156.669998,102932800,0.000000,0.000000
2013-04-01 00:00:00-04:00,156.589996,156.910004,155.669998,156.050003,99194100,0.000000,0.000000
2013-04-02 00:00:00-04:00,156.610001,157.210007,156.369995,156.820007,101504300,0.000000,0.000000
2013-04-03 00:00:00-04:00,156.910004,157.029999,154.820007,155.229996,154167400,0.000000,0.000000
2013-04-04 00:00:00-04:00,155.429993,156.169998,155.089996,155.860001,131885000,0.000000,0.000000
2013-04-05 00:00:00-04:00,153.949997,155.350006,153.770004,155.160004,159666000,0.000000,0.000000
2013-04-08 00:00:00-04:00,155.270004,156.220001,154.750000,156.210007,86571200,0.000000,0.000000
2013-04-09 00:00:00-04:00,156.500000,157.320007,155.979996,156.750000,101922200,0.000000,0.000000
2013-04-10 00:00:00-04:00,157.169998,158.869995,157.130005,158.669998,135711100,0.000000,0.000000
2013-04-11 00:00:00-04:00,158.699997,159.710007,158.539993,159.190002,110142500,0.000000,0.000000
2013-04-12 00:00:00-04:00,158.679993,159.039993,157.919998,158.800003,116359900,0.000000,0.000000
2013-04-15 00:00:00-04:00,158.000000,158.130005,155.100006,155.119995,217259000,0.000000,0.000000
2013-04-16 00:00:00-04:00,156.289993,157.490005,155.910004,157.410004,147507800,0.000000,0.000000
2013-04-17 00:00:00-04:00,156.289993,156.320007,154.279999,155.110001,226834800,0.000000,0.000000
2013-04-18 00:00:00-04:00,155.369995,155.410004,153.550003,154.139999,167583200,0.000000,0.000000
2013-04-19 00:00:00-04:00,154.500000,155.550003,154.119995,155.479996,149687600,0.000000,0.000000
2013-04-22 00:00:00-04:00,155.779999,156.539993,154.750000,156.169998,106553500,0.000000,0.000000
2013-04-23 00:00:00-04:00,156.949997,157.929993,156.169998,157.779999,166141300,0.000000,0.000000
2013-04-24 00:00:00-04:00,157.830002,158.300003,157.539993,157.880005,96781200,0.000000,0.000000
2013-04-25 00:00:00-04:00,158.339996,159.270004,158.100006,158.520004,131060600,0.000000,0.000000
2013-04-26 00:00:00-04:00,158.330002,158.600006,157.729996,158.240005,95918800,0.000000,0.000000
2013-04-29 00:00:00-04:00,158.669998,159.649994,158.419998,159.300003,88572800,0.000000,0.000000
2013-04-30 00:00:00-04:00,159.270004,159.720001,158.610001,159.679993,116010700,0.000000,0.000000
2013-05-01 00:00:00-04:00,159.330002,159.410004,158.100006,158.279999,138874200,0.000000,0.000000
2013-05-02 00:00:00-04:00,158.679993,159.889999,158.529999,159.750000,96407600,0.000000,0.000000
2013-05-03 00:00:00-04:00,161.139999,161.880005,159.779999,161.369995,144202300,0.000000,0.000000
2013-05-06 00:00:00-04:00,161.490005,162.009995,161.419998,161.779999,66882100,0.000000,0.000000
2013-05-07 00:00:00-04:00,162.130005,162.649994,161.669998,162.600006,90359200,0.000000,0.000000
2013-05-08 00:00:00-04:00,162.419998,163.389999,162.330002,163.339996,97419200,0.000000,0.000000
2013-05-09 00:00:00-04:00,163.270004,163.699997,162.470001,162.880005,106738600,0.000000,0.000000
2013-05-10 00:00:00-04:00,162.990005,163.550003,162.509995,163.410004,103203000,0.000000,0.000000
2013-05-13 00:00:00-04:00,163.199997,163.809998,162.820007,163.539993,81843200,0.000000,0.000000
2013-05-14 00:00:00-04:00,163.669998,165.350006,163.669998,165.229996,119000900,0.000000,0.000000
2013-05-15 00:00:00-04:00,164.960007,166.449997,164.910004,166.119995,120718500,0.000000,0.000000
2013-05-16 00:00:00-04:00,165.779999,166.360001,165.089996,165.339996,109913600,0.000000,0.000000
2013-05-17 00:00:00-04:00,165.949997,167.039993,165.729996,166.940002,129801000,0.000000,0.000000
2013-05-20 00:00:00-04:00,166.779999,167.580002,166.610001,166.929993,85071200,0.000000,0.000000
2013-05-21 00:00:00-04:00,167.080002,167.800003,166.500000,167.169998,95804200,0.000000,0.000000
2013-05-22 00:00:00-04:00,167.339996,169.070007,165.169998,165.929993,244031800,0.000000,0.000000
2013-05-23 00:00:00-04:00,164.160004,165.910004,163.940002,165.449997,211064400,0.000000,0.000000
2013-05-24 00:00:00-04:00,164.470001,165.380005,163.979996,165.309998,151573900,0.000000,0.000000
2013-05-28 00:00:00-04:00,167.039993,167.779999,165.809998,166.300003,143679800,0.000000,0.000000
2013-05-29 00:00:00-04:00,165.419998,165.800003,164.339996,165.220001,160363400,0.000000,0.000000
2013-05-30 00:00:00-04:00,165.350006,166.589996,165.220001,165.830002,107793800,0.000000,0.000000
2013-05-31 00:00:00-04:00,165.369995,166.309998,163.130005,163.449997,176850100,0.000000,0.000000
2013-06-03 00:00:00-04:00,163.830002,164.460007,162.660004,164.350006,168390700,0.000000,0.000000
2013-06-04 00:00:00-04:00,164.440002,165.100006,162.729996,163.559998,157631500,0.000000,0.000000
2013-06-05 00:00:00-04:00,163.089996,163.419998,161.130005,161.270004,211737800,0.000000,0.000000
2013-06-06 00:00:00-04:00,161.199997,162.740005,160.250000,162.729996,200225500,0.000000,0.000000
2013-06-07 00:00:00-04:00,163.850006,164.949997,163.139999,164.800003,188337800,0.000000,0.000000
2013-06-10 00:00:00-04:00,165.309998,165.399994,164.369995,164.800003,105667100,0.000000,0.000000
2013-06-11 00:00:00-04:00,163.300003,164.539993,162.740005,163.100006,159505400,0.000000,0.000000
2013-06-12 00:00:00-04:00,164.220001,164.389999,161.600006,161.750000,177361500,0.000000,0.000000
2013-06-13 00:00:00-04:00,161.660004,164.500000,161.300003,164.210007,163587800,0.000000,0.000000
2013-06-14 00:00:00-04:00,164.029999,164.669998,162.910004,163.179993,141197500,0.000000,0.000000
2013-06-17 00:00:00-04:00,164.289993,165.220001,163.220001,164.440002,136295600,0.000000,0.000000
2013-06-18 00:00:00-04:00,164.529999,165.990005,164.520004,165.740005,114695600,0.000000,0.000000
2013-06-19 00:00:00-04:00,165.600006,165.889999,163.380005,163.449997,206149500,0.000000,0.000000
2013-06-20 00:00:00-04:00,161.860001,163.470001,158.979996,159.399994,321255900,0.000000,0.000000
2013-06-21 00:00:00-04:00,159.639999,159.759995,157.470001,159.070007,271956800,0.839000,0.000000
2013-06-24 00:00:00-04:00,157.410004,158.429993,155.729996,157.059998,222329000,0.000000,0.000000
2013-06-25 00:00:00-04:00,158.479996,160.100006,157.419998,158.570007,162262200,0.000000,0.000000
2013-06-26 00:00:00-04:00,159.869995,160.500000,159.250000,160.139999,134848000,0.000000,0.000000
2013-06-27 00:00:00-04:00,161.100006,161.820007,160.949997,161.080002,129483700,0.000000,0.000000
2013-06-28 00:00:00-04:00,160.630005,161.399994,159.860001,160.419998,160402900,0.000000,0.000000
2013-07-01 00:00:00-04:00,161.259995,162.479996,161.080002,161.360001,131954800,0.000000,0.000000
2013-07-02 00:00:00-04:00,161.119995,162.300003,160.500000,161.210007,154863700,0.000000,0.000000
2013-07-03 00:00:00-04:00,160.479996,161.770004,160.220001,161.279999,75216400,0.000000,0.000000
2013-07-05 00:00:00-04:00,162.470001,163.080002,161.300003,163.020004,122416900,0.000000,0.000000
2013-07-08 00:00:00-04:00,163.860001,164.389999,163.080002,163.949997,108092500,0.000000,0.000000
2013-07-09 00:00:00-04:00,164.979996,165.330002,164.270004,165.130005,119298000,0.000000,0.000000
2013-07-10 00:00:00-04:00,164.970001,165.750000,164.630005,165.190002,121410100,0.000000,0.000000
2013-07-11 00:00:00-04:00,167.110001,167.610001,165.179993,167.440002,135592200,0.000000,0.000000
2013-07-12 00:00:00-04:00,167.389999,167.929993,167.130005,167.509995,104212700,0.000000,0.000000
2013-07-15 00:00:00-04:00,167.970001,168.389999,167.679993,168.149994,69450600,0.000000,0.000000
2013-07-16 00:00:00-04:00,168.259995,168.360001,167.070007,167.520004,88702100,0.000000,0.000000
2013-07-17 00:00:00-04:00,168.160004,168.479996,167.729996,167.949997,92873900,0.000000,0.000000
2013-07-18 00:00:00-04:00,168.309998,169.270004,168.199997,168.869995,103620100,0.000000,0.000000
2013-07-19 00:00:00-04:00,168.520004,169.229996,168.309998,169.169998,103831700,0.000000,0.000000
2013-07-22 00:00:00-04:00,169.410004,169.740005,169.009995,169.500000,79428600,0.000000,0.000000
2013-07-23 00:00:00-04:00,169.800003,169.830002,169.050003,169.139999,80829700,0.000000,0.000000
2013-07-24 00:00:00-04:00,169.789993,169.860001,168.179993,168.520004,112914000,0.000000,0.000000
2013-07-25 00:00:00-04:00,168.220001,169.080002,167.940002,168.929993,111088600,0.000000,0.000000
2013-07-26 00:00:00-04:00,168.220001,169.160004,167.520004,169.110001,107814600,0.000000,0.000000
2013-07-29 00:00:00-04:00,168.679993,169.059998,168.110001,168.589996,79695000,0.000000,0.000000
2013-07-30 00:00:00-04:00,169.100006,169.279999,168.190002,168.589996,85209600,0.000000,0.000000
2013-07-31 00:00:00-04:00,168.940002,169.850006,168.490005,168.710007,142388700,0.000000,0.000000
2013-08-01 00:00:00-04:00,169.990005,170.809998,169.899994,170.660004,110438400,0.000000,0.000000
2013-08-02 00:00:00-04:00,170.279999,170.970001,170.050003,170.949997,91116700,0.000000,0.000000
2013-08-05 00:00:00-04:00,170.570007,170.960007,170.350006,170.699997,54072700,0.000000,0.000000
2013-08-06 00:00:00-04:00,170.369995,170.740005,169.350006,169.729996,87495000,0.000000,0.000000
2013-08-07 00:00:00-04:00,169.190002,169.429993,168.550003,169.179993,84854700,0.000000,0.000000
2013-08-08 00:00:00-04:00,169.979996,170.179993,168.929993,169.800003,102181300,0.000000,0.000000
2013-08-09 00:00:00-04:00,169.580002,170.100006,168.720001,169.309998,91757700,0.000000,0.000000
2013-08-12 00:00:00-04:00,168.460007,169.309998,168.380005,169.110001,68593300,0.000000,0.000000
2013-08-13 00:00:00-04:00,169.410004,169.899994,168.410004,169.610001,80806000,0.000000,0.000000
2013-08-14 00:00:00-04:00,169.529999,169.800003,168.699997,168.740005,79829200,0.000000,0.000000
2013-08-15 00:00:00-04:00,167.410004,167.429993,166.089996,166.380005,152931800,0.000000,0.000000
2013-08-16 00:00:00-04:00,166.059998,166.630005,165.500000,165.830002,130868200,0.000000,0.000000
2013-08-19 00:00:00-04:00,165.639999,166.210007,164.759995,164.770004,96437600,0.000000,0.000000
2013-08-20 00:00:00-04:00,165.039993,166.199997,164.860001,165.580002,89294400,0.000000,0.000000
2013-08-21 00:00:00-04:00,165.119995,166.029999,164.190002,164.559998,159530500,0.000000,0.000000
2013-08-22 00:00:00-04:00,164.899994,166.300003,164.889999,166.059998,101471400,0.000000,0.000000
2013-08-23 00:00:00-04:00,166.550003,166.830002,165.770004,166.619995,90888900,0.000000,0.000000
2013-08-26 00:00:00-04:00,166.789993,167.300003,165.889999,166.000000,89702100,0.000000,0.000000
2013-08-27 00:00:00-04:00,164.360001,166.000000,163.210007,163.330002,158619400,0.000000,0.000000
2013-08-28 00:00:00-04:00,163.259995,164.490005,163.050003,163.910004,108113000,0.000000,0.000000
2013-08-29 00:00:00-04:00,163.550003,165.039993,163.399994,164.169998,119200500,0.000000,0.000000
2013-08-30 00:00:00-04:00,164.509995,164.529999,163.169998,163.649994,134928900,0.000000,0.000000
2013-09-03 00:00:00-04:00,165.229996,165.580002,163.699997,164.389999,142375100,0.000000,0.000000
2013-09-04 00:00:00-04:00,164.429993,166.029999,164.130005,165.750000,97389400,0.000000,0.000000
2013-09-05 00:00:00-04:00,165.850006,166.399994,165.729996,165.960007,63090500,0.000000,0.000000
2013-09-06 00:00:00-04:00,166.509995,166.979996,164.479996,166.039993,159756500,0.000000,0.000000
